"Post Required","Field Name","Friendly Name",Value
No,cobdownpayment,"QuickApp-DESCR Are you borrowing any money for this real estate transaction (e.g., money for your closing costs or down payment) or obtaining any money from another party, such as the seller or realtor, that you have not disclosed on this loan application? If YES, what is the amount of this money?",string
No,cobcoMaker,"QuickApp-DESCR Are you a co-signer or guarantor on any debt or loan that is not disclosed on this application?",string
No,cobusCitizen,"QuickApp-DESCR Are you a U.S. citizen?",string
No,cobresidentalien,"QuickApp-DESCR Are you a permanent resident alien?",string
No,cobprimaryresidence,"QuickApp-DESCR Will you occupy the property as your primary residence?",string
No,cobownershipinterest,"QuickApp-DESCR Have you had an ownership interest in a property in the last three years?",string
No,cobdeclarationjudegments,"QuickApp-Co-borrow DESCR Are there any outstanding judgements against you?",string
No,cobdeclarationbankrupt,"QuickApp-Co-borrow DESCR Have you declared bankruptcy within the past 7 years?",string
No,cobdeclarationforeclosed,"QuickApp-Co-borrow DESCR Have you conveyed title to any property in lieu of foreclosure in the past 7 years?",string
No,cobdeclarationlawsuit,"QuickApp-Co-borrow DESCR Are you a party to a lawsuit in which you potentially have any personal financial liability?",string
No,cobdeclarationObligated,"QuickApp-Co-borrow DESCR Directly or indirectly Transfer of title in lieu of foreclosure, or judgment?",string
No,cobdeclarationdelinquent,"QuickApp-Co-borrow DESCR Are you presently delinquent bond, or loan guarantee?",string
No,cobdeclarationalimony,"QuickApp-Co-borrow DESCR Are you obligated to pay alimony, child support, or separate maintenance?",string
No,cobdeclarationdownpayment,"QuickApp-Co-borrow DESCR Are you borrowing any money for this real estate transaction (e.g., money for your closing costs or down payment) or obtaining any money from another party, such as the seller or realtor, that you have not disclosed on this loan application? If YES, what is the amount of this money?",string
No,cobdeclarationMaker,"QuickApp-Co-borrow DESCR Are you a co-signer or guarantor on any debt or loan that is not disclosed on this application?",string
No,cobdeclarationUScitizen,"QuickApp-Co-borrow DESCR Are you a U.S. citizen?",string
No,cobdeclarationResident,"QuickApp-Co-borrow DESCR Are you a permanent resident alien?",string
No,cobdeclarationPrimary,"QuickApp-Co-borrow DESCR Will you occupy the property as your primary residence?",string
No,cobdeclarationOwnership,"QuickApp-Co-borrow DESCR Have you had an ownership interest in a property in the last three years?",string
No,leadbankruptcy,Bankruptcy,string
No,lanforeclosure,Foreclosure?,string
No,lanshortsale,"Short Sale?",string
No,latemortgagePayment,"Late Payments?",string
No,firsttimehomebuyer,"First Time Homebuyer?",string
No,leadfhaloan,"FHA Loan?",string
No,leadveteran,Veteran?,string
No,leadvaDisability,"VA Disability",string
No,portalMilitaryIncomeAmount,"Portal Military Income Amount",txtCurrency
No,portalEmploymentOvertime,"Portal Employment Overtime",string
No,portalEmploymentBonus,"Portal Employment Bonus",string
No,portalEmploymentCommission,"Portal Employment Commission",string
No,portalEmployementbtn,"Portal Employment Button",string
No,portalSeltEmployementbtn,"Portal Self Employment Button",string
No,portalPensionbtn,"Portal Pension Button",string
No,portalAssetAmount,"Portal Asset Amount",txtCurrency
No,portalAdditionalRealEstateButton,"Portal Additional Real Estate Button",string
No,leadGUID,"Lead GUID",string
No,leadloanGUID,"Loan GUID",string
No,bormonthlyIncome,"Borrower Monthly Income",txtCurrency
No,ispreapprovedclient,Pre-Approved,boolean
No,issignedpurchaseagreement,"Signed Purchase Agreement",boolean
No,isrecordedcheck,Recorded,boolean
No,isloanservicingclient,Servicing,boolean
No,boMailStreetAddress2,"Borrower Mailing Unit or Apartment #",string
No,bonomilitarycheck,"Borrower Military Service - None",boolean
No,borsameAspresent,"Mailing address is NOT the same as current address",boolean
No,cosameAsmailing,"Co-Borrower Mailing address is NOT the same as current address",boolean
No,boactivedutycheck,"Borrower Military Service - Currently serving or active duty with projected expiration date of service.tour",boolean
No,boretiredmilitarycheck,"Borrower Military Service - Currently retired, discharged or separated from service",boolean
No,boservicemilitarycheck,"Borrower Military Service - Only period of service was as a non-activated member of the Reserve or National Guard",boolean
No,borsurvivingspousecheck,"Borrower Military Service - Surviving spouse",boolean
No,bordemographicsmethod,"Borrower Demographics Provided Method",boolean
No,cbinomilitarycheck,"Co-Borrower Military Service - None",boolean
No,cbiactivedutycheck,"Co-Borrower Military Service - Currently serving or active duty with projected expiration date of service.tour",boolean
No,cbiretiredmilitarycheck,"Co-Borrower Military Service - Currently retired, discharged or separated from service",boolean
No,cbiservicemilitarycheck,"Co-Borrower Military Service - Only period of service was as a non-activated member of the Reserve or National Guard",boolean
No,cbisurvivingspousecheck,"Co-Borrower Military Service - Surviving spouse",boolean
No,cbidemographicsmethod,"Co-Borrower Demographics Provided Method",boolean
No,borpreforeclosureSaledesc,"Borrower - DU Policy Feature Description: Completed a pre-foreclosure sale or short sale",string
No,cobcopreforeclosureSaledesc,"Co-Borrower - DU Policy Feature Description: Completed a pre-foreclosure sale or short sale",string
No,borpropertyForecloseddesc,"Borrower - DU Policy Feature Description: Had property foreclosed upon in the last 7 years",string
No,cobcoPropertyForecloseddesc,"Co-Borrower - DU Policy Feature Description: Had property foreclosed upon in the last 7 years",string
No,boreconsentauthcheck,"eConsent Authorization",integer
No,cbieconsentauthcheck,"Co-borrower eConsent Authorization",integer
No,cbiworkphoneext,Extension,string
No,borworkphoneext,Extension,string
No,mktleadprice,"Marketing Lead Price",txtCurrency
No,mktleadscore,"Marketing Lead Score",string
No,mktmailshopdropcode,"Mail Shop Drop Code",string
No,mktclosinglikelihoodscore,"Closing Likelihood Score",string
No,primaryNoDrips,"Primary No Drip Campaigns",integer
No,secondaryNoDrips,"Secondary Contact",integer
No,primaryconsentTCPA,"Primary TCPA Consent",integer
No,primaryconsentDNC,"Primary Do Not Contact",integer
No,primaryconsenttext,"Primary Text Opt Out",integer
No,primaryconsentemail,"Primary Email Opt Out",integer
No,checkCall,"Consent Opt-Out Call",integer
No,primaryconsentdonotdialdate,"Primary Do Not Call Consent Date",datetime
No,secondaryconsentDoNotCall,"Secondary Do Not Call Consent",integer
No,secondaryconsentDoNotCallDate,"Secondary Do Not Call Consent Date",datetime
No,primaryconsentaffiliate,"Primary Affiliate Marketing Opt-Out",integer
No,primaryconsentmail,"Primary Mail Opt-Out",integer
No,primaryconsentTCPAdate,"Primary TCPA Consent Date",datetime
No,primaryconsentDNCdate,"Primary Do Not Contact Date",datetime
No,primaryconsenttextdate,"Primary Text Opt Out Date",date
No,primaryconsentaffiliatedate,"Primary Affiliate Marketing Opt-Out Date",date
No,primaryconsentemaildate,"Primary Email Opt Out Date",date
No,primaryconsentmaildate,"Primary Mail Opt Out Date",date
No,secondaryconsentTCPA,"Secondary TCPA Consent",integer
No,secondaryconsentDNC,"Secondary Do Not Contact",integer
No,secondaryconsenttext,"Secondary Text Opt Out",integer
No,secondaryconsentemail,"Secondary Email Opt Out",integer
No,secondaryconsentaffiliate,"Secondary Affiliate Marketing Opt-Out",integer
No,secondaryconsentmail,"Secondary Mail Opt-Out",integer
No,secondaryconsentTCPAdate,"Secondary TCPA Consent Date",datetime
No,secondaryconsentDNCdate,"Secondary Do Not Contact Date",datetime
No,secondaryconsenttextdate,"Secondary Text Opt Out Date",datetime
No,secondaryconsentaffiliatedate,"Secondary Affiliate Marketing Opt-Out Date",datetime
No,secondaryconsentemaildate,"Secondary Email Opt Out Date",datetime
No,secondaryconsentmaildate,"Secondary Mail Opt Out Date",datetime
No,trkloanstatusdate,"Loan Status Date",date
No,trkloanlastupdatedate,"Date Loan Last Updated",date
No,trkloanfolder,"Loan Folder",string
No,trkAUSRecommendation,"AUS Recommendation",string
No,trkloansubstatus,"Loan Substatus",string
No,trkloantypedescription,"Loan Type Description",date
No,ProgramTypeDescription,"Program Description",string
No,trkpreviousLoName,"Previous LO Name",string
No,trkpreviousLoNMLS,"Previous LO NMLS",string
No,trkpreviousInstanceId,"Previous Shape Instance ID",string
No,trkpreviousShapeLeadId,"Previous LO NMLS",string
No,trknewLoName,"New LO Name",string
No,trknewLoNMLS,"New LO NMLS",string
No,trknewInstanceId,"New Shape Instance ID",string
No,trknewShapeLeadId,"New Shape Lead ID",string
No,pclhomePrice,"Payment Calculator Home Price",txtCurrency
No,pcldownPayment,"Payment Calculator Down Payment",string
No,pcldownPmtAmount,"Payment Calculator Down Payment Amount",txtCurrency
No,pclloanAmount,"Payment Calculator Loan Amount",txtCurrency
No,pclmortgageTerm,"Payment Calculator Mortgage Term",string
No,pclannualInterestRate,"Payment Calculator Annual Interest Rate",string
No,trmnoOfProperties,"Term Sheet Number of properties",string
No,trmpropertyAddress,"Term Sheet Subject Property Address",string
No,trmpropertyCity,"Term Sheet Property City",string
No,trmpropertyState,"Term Sheet Property State",string
No,trmpropertyZipCode,"Term Sheet Property Zip Code",string
No,trmloanPurpose,"Term Sheet Loan Purpose",string
No,trmloanType,"Term Sheet Loan Type",string
No,trmpropertyType,"Term Sheet Property Type",string
No,trmentityName,"Term Sheet Entity Name",string
No,trmficoScore,"Term Sheet FICO Score",string
No,trmexperience,"Term Sheet Experience",string
No,trmloanAmountUseMax,"Term Sheet Loan Amount (Use Max)",boolean
No,trmloanAmountManual,"Term Sheet Loan Amount (Manual)",txtCurrency
No,trmasIsValue,"Term Sheet As is Value",txtCurrency
No,trmpurchasePrice,"Term Sheet Purchase Price",txtCurrency
No,trmrehabBudget,"Term Sheet Rehab Budget",txtCurrency
No,trmhasConstructionStarted,"Term Sheet Has Construction Started",string
No,trmhardCostInvested,"Term Sheet Hard Cost Invested to date",txtCurrency
No,trmafterRepairValue,"Term Sheet After Repair Value",txtCurrency
No,trmexistingPayOff,"Term Sheet Existing PayOff",txtCurrency
No,trmestimateMonthlyRent,"Term Sheet Estimated Monthly Rent",txtCurrency
No,trmpropertyTaxesAnnual,"Term Sheet Property Taxes (Annual)",txtCurrency
No,trmpropertyInsuranceAnnual,"Term Sheet Property Insurance (Annual)",txtCurrency
No,trmpropertyHOA,"Term Sheet Property HOA (Monthly)",txtCurrency
No,trmbrokerFee,"Term Sheet Broker Fee",string
No,trmprocessingFee,"Term Sheet Processing Fee",txtCurrency
No,trmotherFees,"Term Sheet Other Fee",txtCurrency
No,trmexitFee,"Term Sheet Exit Fee",txtCurrency
No,trmadditionalInfo,"Term Sheet Additional Information",string
No,refprCompanyAddress,"Partner Company Address",string
No,refprCoCity,"Partner Company City",string
No,refprCoState,"Partner Company State",string
No,refprCoZipCode,"Partner Company Zip",string
No,refprStreetAddress,"Partner Mailing Address",string
No,refprCity,"Partner Mailing City",string
No,refprState,"Partner Mailing State",string
No,refprZipCode,"Partner Mailing Zip",string
No,cuStreetAdddress,"Partner Physical Address",string
No,refzip,"Partner Physical Zip",string
No,refinterestshobbies,"Partner Personal Interests & Hobbies",string
No,refimportantnotes,"Whats Important to Them?",string
No,checkTCPA,"Consent Opt-Out TCPA",integer
No,checkDNC,"Consent Opt-Out DNC",integer
No,checkText,"Consent Opt-Out Text",integer
No,checkEmail,"Consent Opt-Out Email",integer
No,checkMail,"Consent Opt-Out Mail",integer
No,spanishspeak,"Spanish Speaking",integer
No,chinesespeak,"Chinese Speaking",boolean
No,englishspeak,English,integer
No,koreanspeak,Korean,integer
No,tagalogspeak,Tagalog,integer
No,vietnamesespeak,Vietnamese,integer
No,otherspeak,"Other Language",boolean
No,contactMathod,"Best Contact Method",string
No,qkapppurpose,Purpose,string
No,currntintrstrate,"Current Interest Rate",txtDecimal
No,rateType,"Current Rate Type",string
No,targetRate,"Target Rate",txtDecimal
No,targetRatetype,"Target Rate Type",string
No,intratequoted,"Rate Quoted",txtDecimal
No,lonamtexistlien,"Current Loan Balance",txtCurrency
No,currentMortgageProgram,"Current Mortgage Program",string
No,leadcuMonthlyPayment,"Current Monthly Payment",txtCurrency
No,proposedpmt,"Proposed Payment",txtCurrency
No,monthlysavings,"Money Saved",txtCurrency
No,estCompensation,"Estimated Compensation",txtCurrency
No,loanDate,"Loan Date",datetime
No,ledliquidassets,"Liquid Assets",string
No,altemailaddress,"Alternate Email",string
No,leddti,DTI,txtDecimal
No,ledentityName,"Entity Name",string
No,incometypequalification,"Lead Income Type",string
No,ledentityType,"Entity Type",string
No,workwithrealtor,"Working With Realtor?",string
No,lonownedproperty,"Owned Property In Last 3 Years?",string
No,lonbankruptcy,"Bankruptcy In Last 7 Years?",string
No,lonbanckruptcyfiledate,"Bankruptcy File Date",datetime
No,londischargedate,"Bankruptcy Discharge Date",datetime
No,reasonOfLoan,"Goals & Objectives",text
No,realtorId,"Referral Partner Id",string
No,rellendername,Lender,string
No,ledalertSource,"Alert Source",string
No,ledalertType,"Alert Type",string
No,ledalertDate,"Alert Date",datetime
No,ledalertDescription,"Alert Description",string
No,alertleadid,"Alert Lead ID",string
No,alertid,"Alert ID",string
No,alertintelid,"Alert Intel ID",string
No,alerttypeid,"Alert Type ID",string
No,alertpageurl,"Alert Page URL",string
No,refId,"Reference Id",string
No,tcaVideoLink,"LO Presentation Link",string
No,tcaBorrowerLink,"Client-Facing Presentation Link",string
No,posid,"Point of Sale ID",string
No,LastAppointmentDate,"Last Appointment Date",datetime
No,NextAppointmentDate,"Next Appointment Date",datetime
No,loan_estAppraisalVal,"Appraisal Value",string
No,prozestimate,Zestimate,txtCurrency
No,prostreetviewLink,"Street View Link",string
No,procostarLink,"Costar Link",string
No,prolastsoldDate,"Last Sold Date",datetime
No,prolastsoldYear,"Last Sold Year",string
No,prolastsoldPrice,"Last Sold Price",txtCurrency
No,prolisted,Listed,string
No,proestimatedCOE,"Estimated COE",datetime
No,prolotszsqfoot,"Square Footage Added",string
No,profinprosqfoot,"Finished Property Square Footage",string
No,proaddingUnits,"Adding Units?",string
No,proaddingSquarefootage,"Adding Square Footage?",string
No,pronumberOfunitsAdded,"Number of Units Added",string
No,pronumofbedRooms,"Number of Bedrooms",string
No,pronumofbathRooms,"Number of Bathrooms",string
No,propreferredEquityAmt,"Equity Amount Requested",txtCurrency
No,proborroweropinion,"Borrower Opinion Value",txtCurrency
No,protaxasses,"Tax Assessment",string
No,propropertyUse,"Intended Use & Occupancy",string
No,prooccupancy,Occupancy,string
No,prolastRefinencedDate,"Last Refinanced Date",datetime
No,pronotes,"Property Notes",string
No,ledcurrentPayoff,"Current Payoff",txtCurrency
No,ledorgPurchaseprice,"Original Purchase Price",txtCurrency
No,ledorgPurchaseDate,"Original Purchase Date",datetime
No,ledmortgageStatus,"Mortgage Status",string
No,zillowurlproperty,"Zillow URL Link",text
No,taxassesyrs,"Tax Assessment Year",string
No,lotszsqfoot,"Lot Size Square Footage",string
No,finprosqfoot,"Finished Property Square Footage",string
No,relbuyingagentname,"Buying Agent",string
No,relsellingagentname,"Selling Agent",string
No,relbuyingagentemail,"Buying Agent Email",string
No,relbuyingagentID,"Buying Agent Id",string
No,relbrokeremail,"Broker Email",string
No,relbrokerphone,"Broker Mobile Phone",string
No,relsellingagentID,"Selling Agent Id",string
No,relbrokername,Broker,string
No,relbuyingagentcompany,"Buying Agent Company",string
No,relbuyingAttorneycompany,"Buyer Attorney Company",string
No,relsellerAttorneycompany,"Seller Attorney Company",string
No,relcpacompany,"CPA Company",string
No,relcpacoaddress,"CPA Company Address",string
No,relsellingagentcoaddress,"Selling Agent Company Address",string
No,relbuyingagentcoaddress,"Buying Agent Company Address",string
No,relbuyingAttorneycoaddress,"Buyer Attorney Company Address",string
No,relsellerAttorneycoaddress,"Seller Attorney Company Address",string
No,reltitlecontactcompany,"Title Agent Company",string
No,relbuildercompany,"Builder Company",string
No,relbrokercompany,"Broker Company",string
No,relbrokercoaddress,"Broker Company Address",string
No,relbrokercocity,"Broker Company City",string
No,relbrokercostate,"Broker Company State",string
No,relbrokercozip,"Broker Company Zip",string
No,relbuildercoaddress,"Builder Company Address",string
No,relcpacocity,"CPA Company City",string
No,relcpacostate,"CPA Company State",string
No,relcpacozip,"CPA Company Zip",string
No,relbuildercocity,"Builder Company City",string
No,relbuildercostate,"Builder Company State",string
No,relbuildercozip,"Builder Company Zip",string
No,relbuilderfax,"Builder Fax",string
No,reltitlecontactcoaddress,"Title Agent Company Address",string
No,relbuyingagentcocity,"Buying Agent Company City",string
No,relsellingagentcocity,"Selling Agent Company City",string
No,relbuyingAttorneycocity,"Buyer Attorney Company City",string
No,relsellerAttorneycocity,"Seller Attorney Company City",string
No,reltitlecontactcocity,"Title Agent Company City",string
No,reltitlecontactcostate,"Title Agent Company State",string
No,reltitlecontactcozip,"Title Agent Company Zip",string
No,relbuyingagentcostate,"Buying Agent Company State",string
No,relsellingagentcostate,"Selling Agent Company State",string
No,relbuyingAttorneycostate,"Buyer Attorney Company State",string
No,relsellerAttorneycostate,"Seller Attorney Company State",string
No,relbuyingagentcozip,"Buying Agent Company Zip",string
No,relsellingagentcozip,"Selling Agent Company Zip",string
No,relbuyingAttorneycozip,"Buyer Attorney Company Zip",string
No,relsellerAttorneycozip,"Seller Attorney Company Zip",string
No,relsellingagentemail,"Selling Agent Email",string
No,relsellingagentphone,"Selling Agent Mobile Phone",string
No,relsellingagentworkphone,"Selling Agent Work Phone",string
No,relsellingagentlicensenum,"Selling Agent License Number",string
No,relbuyingagentlicensenum,"Buying Agent License Number",string
No,relbuyingagentcrmid,"Buying Agent CRM ID",string
No,relsellingagentcrmid,"Selling Agent CRM ID",string
No,relsellingagentcompanyid,"Buying Agent Company ID",string
No,relbuyingagentcompanyid,"Selling Agent Company ID",string
No,relbuyertransactioncoordinatoremail,"Buyer's Transaction Coordinator Email",string
No,relbuyertransactioncoordinatorphone,"Buyer's Transaction Coordinator Mobile Phone",string
No,relsellerTransactionCoordinatorname,"Seller's Transaction Coordinator Contact Name",string
No,relsellerTransactionCoordinatoremail,"Seller's Transaction Coordinator Email",string
No,relsellerTransactionCoordinatorphone,"Seller's Transaction Coordinator Mobile Phone",string
No,reltitlecontacename,"Title Agent",string
No,relinsurancename,Insurance,string
No,relinsurancecontactphone,"Insurance Contact Mobile Phone",string
No,relinsurancecontactemail,"Insurance Contact Email",string
No,relinsurancecontactWorkphone,"Insurance Contact Work Phone",string
No,relinsurancecontactcompany,"Insurance Contact Company",string
No,reltitlecontacemail,"Title Contact Email",string
No,reltitlecontactphone,"Title Contact Mobile Phone",string
No,reltitlecontactWorkphone,"Title Agent Work Phone",string
No,relescrowcontactname,"Escrow Contact Name",string
No,relescrowcontactemail,"Escrow Contact Email",string
No,relescrowcontactphone,"Escrow Contact Mobile Phone",string
No,relappraisername,"Appraiser Contact Name",string
No,relclosingagentname,"Closing Agent",string
No,relappraiseremail,"Appraiser Email",string
No,relappraiserphone,"Appraiser  Mobile Phone",string
No,reltermitecontactname,"Termite Contact Name",string
No,reltermitecontactemail,"Termite Contact Email",string
No,reltermitecontactphone,"Termite Contact Mobile Phone",string
No,relhomeinspecontname,"Home Inspection Contact Name",string
No,relhomeinspecontemail,"Home Inspection Contact Email",string
No,relhomeinspecontphone,"Home Inspection Mobile Phone",string
No,leadrealtorrefname,"Realtor Referral Name",string
No,realtorreferral,"Referral Partner",string
No,relsellingagentcompany,"Selling Agent Company",string
No,relbuyingAttorneyID,"Buyer Attorney Id",string
No,relbuyingAttorneyname,"Buyer Attorney",string
No,relbuyingAttorneyemail,"Buyer Attorney Email",string
No,relbuyingAttorneyphone,"Buyer Attorney Mobile Phone",string
No,relsellerAttorneyname,"Seller Attorney",string
No,relsellerAttorneyemail,"Seller Attorney Email",string
No,relsellerAttorneyphone,"Seller Attorney Mobile Phone",string
No,relsettlementAttorneyname,"Settlement Attorney Contact Name",string
No,relsettlementAttorneyemail,"Settlement Attorney Email",string
No,relsettlementAttorneyphone,"Settlement Attorney Mobile Phone",string
No,relservicerAttorneyname,"Servicer Name",string
No,relservicerAttorneyemail,"Servicer Email",string
No,relservicerAttorneyphone,"Servicer Mobile Phone",string
No,relcreditRepairname,"Credit Repair Specialist Contact Name",string
No,relcreditRepairemail,"Credit Repair Specialist Email",string
No,relcreditRepairphone,"Credit Repair Specialist Mobile Phone",string
No,relcpaname,CPA,string
No,relcpaemail,"CPA Email",string
No,relcpaphone,"CPA Mobile Phone",string
No,relbuildername,Builder,string
No,relbuilderemail,"Builder Email",string
No,relbuilderphone,"Builder Mobile Phone",string
No,relotherContectsname,"Other Contact Name",string
No,relbuyertransactioncoordinatorname,"Buyer's Transaction Coordinator Contact Name",string
No,relotherContectsemail,"Other Contact Email",string
No,relotherContectsphone,"Other Contact Mobile Phone",phone
No,relwholesaleLending,"Wholesale Lending Rep Contact Name",string
No,relwholesaleLendingemail,"Wholesale Lending Rep Email",string
No,rellendermail,"Lender Email",string
No,rellenderphone,"Lender Phone",string
No,relwholesaleLendingphone,"Wholesale Lending Rep Phone",string
No,relthirdParty,"Third Party Originator Contact Name",string
No,relthirdPartyemail,"Third Party Originator Email",string
No,relthirdPartyphone,"Third Party Originator Phone",string
No,relvendor,"Vendor Contact Name",string
No,relvendoremail,"Vendor Email",string
No,relvendorphone,"Vendor Phone",string
No,relambassador,"Ambassador Contact Name",string
No,relambassadoremail,"Ambassador Email",string
No,relambassadorphone,"Ambassador Phone",string
No,bormiddlename,"Borrower Middle Name",string
No,borsuffix,"Borrower Suffix",string
No,borbestcontactmethod,"Borrower Best Contact Method",string
No,borcitizenship,"Borrower Citizenship",string
No,borethnicity,"Borrower Ethnicity",string
No,borrace,"Borrower Race",string
No,borgender,"Borrower Gender",string
No,bordatebirth,"Borrower Date of Birth",date
No,borage,"Borrower Age",string
No,borssn,"Borrower SSN",string
No,borcreditscore,"Borrower Credit Score",string
No,borcreditRating,"Borrower Credit Rating",string
No,boryearsInschool,"Borrower Years in School",string
No,bormaritalstatusdetails,"Borrower Marital Status",string
No,bornumOfdepend,"Borrower Number of Dependents",string
No,borageOfdepend,"Borrower Age of Dependents",string
No,bornickName,"Borrower Nickname",string
No,boryearsAtpresent,"Borrower Years at Present Address",string
No,bormonthsAtCurrent,"Borrower Months at Present Address",string
No,boryearsAtformer,"Borrower Years at Former Address",string
No,bormonthsAtformer,"Borrower Months at Former Address",string
No,borchkrenting,"Borrower Renting",boolean
No,boraddress,"Present Address",string
No,borcity,"Present City",string
No,borstate,"Present State",string
No,borzip,"Present Zip",string
No,borformeraddress,"Borrower Former Address",string
No,borformercity,"Borrower Former City",string
No,borformerstate,"Borrower Former State",string
No,borformerzip,"Borrower Former Zip",string
No,currentMonthlyPmt,"Current Monthly Amount - (QuickApp)",txtCurrency
No,cbicoborrowerfullname,"Co-Borrower Full Name",string
No,cbiFirstName,"Co-Borrower First Name",string
No,cbiMiddleName,"Co-Borrower Middle Name",string
No,cbiLastName,"Co-Borrower Last Name",string
No,cbiSuffix,"Co-Borrower Suffix",string
No,cbiemailAddress,"Co-Borrower Email",string
No,cbimobilePhone,"Co-Borrower Mobile Phone",phone
No,cbiHomePhone,"Co-Borrower Home Phone",phone
No,cbiworkphone,"Co-Borrower Work Phone",phone
No,cbicontactMethod,"Co-Borrower Best Contact Method",string
No,cobcitizenship,"Co-Borrower Citizenship",string
No,cobethnicity,"Co-Borrower Ethnicity",string
No,cobrace,"Co-Borrower Race",string
No,cobgender,"Co-Borrower Gender",string
No,cbibirthDate,"Co-Borrower Date of Birth",date
No,cbiage,"Co-Borrower Age",string
No,cbiSsn,"Co-Borrower SSN",string
No,cbicreditscore,"Co-Borrower Credit Score",string
No,cbiborrowerrelationship,"Co-Borrower Relationship to Borrower",string
No,otherFirstName,"Other Contact Details First Name",string
No,otherLastName,"Other Contact Details Last Name",string
No,otherMobilePhone,"Other Contact Details Mobile Phone",string
No,otherEmail,"Other Contact Details Email",string
No,otherborrowerrelationship,"Other Contact Details Relationship to Borrower",string
No,othercontactMethod,"Other Contact Details Best Contact Method",string
No,otherDecisionMaker,"Other Contact Details Decision Maker?",string
No,cobcreditRating,"Co-Borrower Credit Rating",string
No,cobyearsInschool,"Co-Borrower Years in School",string
No,qkappcbimaritalstatus,"Co-Borrower Marital Status",string
No,cobnumOfdepend,"Co-Borrower Number of Dependents",string
No,coborageOfdepend,"Co-Borrower Age of Dependents",string
No,cobsalutation,"Co-Borrower Salutation",string
No,cobnickName,"Co-Borrower Nickname",string
No,cobyearsAtpresent,"Co-Borrower Years at Present Address",string
No,cobmonthsAtCurrent,"Co-Borrower Months at Present Address",string
No,cobyearsAtformer,"Co-Borrower Years at Former Address",string
No,cobmonthsAtformer,"Co-Borrower Months at Former Address",string
No,cobcobchkrenting,"Co-Borrower Renting",boolean
No,cobformeraddress,"Co-Borrower Former Address",string
No,cobformercity,"Co-Borrower Former City",string
No,cobformerstate,"Co-Borrower Former State",string
No,cobformerzip,"Co-Borrower Former Zip",string
No,borselfEmployed,"Borrower Self Employed",integer
No,boremployer,"Borrower Employer Name",string
No,borempinfoEmpType,"Borrower Employment Type",string
No,borempinfoEmpPosition,"Borrower Employment Position",string
No,boryearsInwork,"Borrower Years In Work",string
No,boryearsonjob,"Borrower Years on Job",string
No,bormonthsonjob,"Borrower Months on Job",string
No,borempPhone,"Borrower Employer Phone",string
No,borempEmail,"Borrower Employer Email",string
No,borempaddress,"Borrower Employer Address",string
No,borempcity,"Borrower Employer City",string
No,borempstate,"Borrower Employer State",string
No,borempzip,"Borrower Employer Zip",string
No,cobemployer,"Borrower Former Employer Name",string
No,cobempinfoEmpType,"Borrower Former Employment Type",string
No,cobempPosition,"Borrower Former Employment Position",string
No,cobmonthlyIncome,"Borrower Former Monthly Income",string
No,cobformDate,"Borrower Employment Start Date",datetime
No,cobtoDate,"Borrower Employment End Date",datetime
No,cobempPhone,"Borrower Former Employer Phone",string
No,cobempEmail,"Borrower Former Employer Email",string
No,cobempaddress,"Borrower Former Employer Address",string
No,cobempcity,"Borrower Former Employer City",string
No,cobempstate,"Borrower Former Employer State",string
No,cobempzip,"Borrower Former Employer Zip",string
No,cobcbeselfEmployed,"Co-Borrower Self Employed",integer
No,cbeemployerName,"Co-Borrower Employer Name",string
No,cbeEmploymentType,"Co-Borrower Employment Type",string
No,cbeemployerPosition,"Co-Borrower Employment Position",string
No,cbeyearsInwork,"Co-Borrower Years In Work",string
No,cbeyearOnJob,"Co-Borrower Years on Job",integer
No,cbemonthsOnJob,"Co-Borrower Months on Job",integer
No,cbeEmpPhone,"Co-Borrower Employer Phone",string
No,cbeEmpEmail,"Co-Borrower Employer Email",string
No,cbeEmpaddress,"Co-Borrower Employer Address",string
No,cbeEmpcity,"Co-Borrower Employer City",string
No,cbeEmpstate,"Co-Borrower Employer State",string
No,cbeEmpzip,"Co-Borrower Employer Zip",string
No,cbiemployerName,"Co-Borrower Former Employer Name",string
No,cbiEmploymentType,"Co-Borrower Former Employment Type",string
No,cbiPosition,"Co-Borrower Former Employment Position",string
No,cbemonthlyIncome,"Co-Borrower Former Monthly Income",string
No,cbeformDate,"Co-Borrower Former Employment From Date",datetime
No,cbetoDate,"Co-Borrower Former Employment To Date",datetime
No,cbiEmpPhone,"Co-Borrower Former Employer Phone",string
No,cbiEmpEmail,"Co-Borrower Former Employer Email",string
No,cbiEmpaddress,"Co-Borrower Former Employer Address",string
No,cbiEmpcity,"Co-Borrower Former Employer City",string
No,cbiEmpstate,"Co-Borrower Former Employer State",string
No,cbiEmpzip,"Co-Borrower Former Employer Zip",string
No,borbaseEmpincome,"Borrower Base Employment Income",txtCurrency
No,borrower_overtime,"Borrower Overtime",txtCurrency
No,borrower_commissions,"Borrower Commissions",txtCurrency
No,borrower_dividends_interest,"Borrower Dividends/Interest",string
No,borrower_net_rental_income,"Borrower Net Rent",string
No,borrower_social_security_income,"Social Security Income",string
No,borpension,"Borrower Pension",string
No,borotherincomeType,"Borrower Other Income Type",string
No,borotherdescription,"Borrower Other Income Description",string
No,borotherincome,"Borrower Other Income Amount",txtCurrency
No,oth_borotherincomeType1,"Borrower Other Income Type 1",string
No,oth_borotherdescription1,"Borrower Other Income Description 1",string
No,oth_borotherincome1,"Borrower Other Income Amount 1",txtCurrency
