"Post Required","Field Name","Friendly Name",Value
No,subpropfulladdress,"Subject Property Full Address",string
No,zestimateaddress,"Zestimate Address",string
No,borpresentfulladdress,"Borrower Present Full Address",string
No,bormailingfulladdress,"Borrower Mailing Full Address",string
No,coborpresentfulladdress,"Co-Borrower Present Full Address",string
No,cobormailingfulladdress,"Co-Borrower Mailing Full Address",string
No,mailingfulladdress,"Mailing Full Address",string
No,physicalfulladdress,"Physical Full Address",string
No,cbiPresentStreetAddress,"Co-Borrower Address",string
No,cbiPresentCity,"Co-Borrower City",string
No,cbiPresentState,"Co-Borrower State",string
No,cbiPresentZipCode,"Co-Borrower Zipcode",string
No,cbiMailStreetAddress,"Co-Borrower Mailing Address",string
No,cbiMailCity,"Co-Borrower Mailing City",string
No,cbiMailState,"Co-Borrower Mailing State",string
No,cbiMailZipCode,"Co-Borrower Mailing Zipcode",string
No,referralsource,"Referral Source",string
No,trkloanrefId,"Tracking Loan RefId",string
No,trkloannnumber,"Tracking Loan Number",string
No,trkloanstatus,"Tracking Loan Status",string
No,lntmemployeeloan,"Employee Loan",boolean
No,lntmdnsync,"Do Not Sync",boolean
No,trkorganizationname,"LO Organization Name",string
No,trklntmloorgaddress,"LO Address",string
No,trkagencycasenum,"Agency Case Number",string
No,lntmloname,"Loan Originator Name",string
No,lntmlonmls,"Loan Originator NMLS",string
No,lntmreferringloname,"Referring LO Name",string
No,lntmreferringlonmls,"Referring LO NMLS",string
No,lntmreferringemp,"Referring Employee",string
No,lntmbranchcode,"Branch Code",string
No,lntmbranchrev,"Branch Revenue",string
No,lntminvestor,Investor,string
No,lntmbranchprocessor,"Branch Processor",string
No,lntmbranchprocessorname,"Branch Processor Name",string
No,lntmbranchprocessoremail,"Branch Processor Email",string
No,lntmbranchprocessorphone,"Branch Processor Phone",string
No,lntmbranchprocessorfax,"Branch Processor Fax",string
No,lntmprocessor,Processor,string
No,trklandercasenum,"Tracking Lender Case Number",string
No,trklockdate,"Tracking Lock Date",datetime
No,trklockexpdate,"Tracking Lock Expiration Date",datetime
No,trkestifunddate,"Tracking Estimated Funding Date",datetime
No,trkappdate,"Tracking Application Date",datetime
No,trkappraisaldate,"Tracking Appraisal Date",datetime
No,trkesticlosedate,"Estimated Closing Date",datetime
No,trkfunddate,"Funded Date - (Tracking)",datetime
No,trkdateclosed,"Tracking Date Closed",datetime
No,trkmarket_points2,"Tracking Market Points",string
No,trkorigination_points2,"Tracking Origination Points",string
No,trkprogramcode2,"Tracking Program Code",string
No,trkfunder2,"Funder - (Tracking)",string
No,trkloan_notes,"Tracking Loan Notes",string
No,trkappraisalContingency,"Appraisal Contingency",datetime
No,trkfinancingContingency,"Financing Contingency",datetime
No,trkappraisalExpectedDelivery,"Appraisal Expected Delivery",datetime
No,trkappraisalInspection,"Appraisal Inspection",datetime
No,trkappraisalreceivedDate,"Appraisal Received Date",datetime
No,trkappraisalrequestDate,"Appraisal Request Date",datetime
No,trkcondoQlreceivedDate,"Condo Questionnaire Received Date",datetime
No,trkcondoQrequestDate,"Condo Questionnaire Request Date",datetime
No,trkcreditReportreceivedDate,"Credit Report Received Date",datetime
No,trkcreditReportrequestDate,"Credit Report Request Date",datetime
No,trkcreditSuppreceivedDate,"Credit Supplement Received Date",datetime
No,trkcreditSupprequestDate,"Credit Supplement Request Date",datetime
No,trkFIBinderreceivedDate,"Flood Insurance Binder Received Date",datetime
No,trkFIBinderrequestDate,"Flood Insurance Binder Request Date",datetime
No,trkFIQuotereceivedDate,"Flood Insurance Quote Received Date",datetime
No,trkFIQuoterequestDate,"Flood Insurance Quote Request Date",datetime
No,trkHIBinderreceivedDate,"Hazard Insurance Binder Received Date",datetime
No,trkHIBinderrequestDate,"Hazard Insurance Binder Request Date",datetime
No,trkHIQuotereceivedDate,"Hazard Insurance Quote Received Date",datetime
No,trkHIQuoterequestDate,"Hazard Insurance Quote Request Date",datetime
No,trkinitialDiscreceivedDate,"Initial Disclosure  Received Date",datetime
No,trkinitialDiscrequestDate,"Initial Disclosure  Request Date",datetime
No,trkmasterPolicyreceivedDate,"Master Policy Received Date",datetime
No,trkmasterPolicyrequestDate,"Master Policy Request Date",datetime
No,trkmersreceivedDate,"MERS Received Date",datetime
No,trkmersrequestDate,"MERS Request Date",datetime
No,trkssareceivedDate,"SSA Received Date",datetime
No,trkssarequestDate,"SSA Request Date",datetime
No,trktaxTranscriptsreceivedDate,"SSA Received Date",datetime
No,trktaxTranscriptsrequestDate,"SSA Request Date",datetime
No,trktitleBinderreceivedDate,"Title Binder Received Date",datetime
No,trktitleBinderrequestDate,"Title Binder Request Date",datetime
No,trkvoereceivedDate,"VOE Received Date",datetime
No,trkvoerequestDate,"VOE Request Date",datetime
No,trkvomreceivedDate,"VOM Received Date",datetime
No,trkvomrequestDate,"VOM Request Date",datetime
No,trkvvoereceivedDate,"VVOE Received Date",datetime
No,trkvvoerequestDate,"VVOE Request Date",datetime
No,trkgfeapplicationdate,"GFE Application Date",datetime
No,trkfilestarteddate,"Date File Started",datetime
No,trkappraisaldocorderdate,"Appraisal Ordered",datetime
No,trkappraisaldocreceivedate,"Appraisal Received",datetime
No,trkonlineappsubmitteddate,"Online App Submitted Date",datetime
No,trkprequalifieddate,"Prequalified Date",datetime
No,isprequalifiedclient,"Is Client Prequalified?",boolean
No,trkprocessingdate,"Processing Date",datetime
No,trkuwsubimssion,"Submitted to UW Date",datetime
No,trkapproveddate,"Approved w/ Conditions Date",datetime
No,trkresubmittaldate,"Re-Submittal Date",datetime
No,trkfinalapprovaldate,"Final Approval Date",datetime
No,trkcleartoclosedate,"Clear to Close Date",datetime
No,trkpreapprovaldate,"Pre-Approval Date",datetime
No,trkpreapprovalissuedate,"Pre-Approval Issued Date",datetime
No,trkpreapprovalexpdate,"Pre-Approval Expiration Date",date
No,trkappsentdate,"Application Sent Date",datetime
No,trkappstartdate,"Application Started Date",datetime
No,trkappcompleteddate,"Application Completed Date",datetime
No,trkdiscloseddate,"Disclosed Date",datetime
No,trkTRIDdate,"TRID Date",datetime
No,trklesentdate,"LE/GFE Sent Date",datetime
No,trkleexpdate,"LE/GFE Expiration Date",datetime
No,trkintentdate,"Intend to ProceedDate",datetime
No,trkdisclosuresentdate,"Disclosures Sent Date",datetime
No,trkdisclosuresduedate,"Disclosures Due Date",datetime
No,trkdisclosuresigndate,"Disclosures Signed Date",datetime
No,trkdisclosurereleasedate,"Disclosures Release Date",datetime
No,trkinitialDiscsentDate,"Initial CD Sent Date",datetime
No,trkcreditauthdate,"Credit Authorization Date",datetime
No,trkcreditreportorderdate,"Credit Report Date",datetime
No,trkcreditexpdate,"Credit Expiration Date",datetime
No,trktitleorderdate,"Title Ordered Date",datetime
No,trktitlereceivedate,"Title Received Date",datetime
No,trkhoiorderdate,"HOI Ordered Date",datetime
No,trkhoireceivedate,"HOI Received Date",datetime
No,trksuspenddate,"Suspended Date",datetime
No,trkdenydate,"Denied Date",datetime
No,trkwithdrawndate,"Withdrawn Date",datetime
No,trkcanceldate,"Cancelled Date",datetime
No,trklockcanceldate,"Lock Rate Cancellation Date",datetime
No,trkLOScreatedate,"LOS Creation Date",datetime
No,trksetupreceivedate,"Setup Received Date",datetime
No,trkinitialdecisiondate,"Initial Decision Date",datetime
No,trkcontractdate,"Contract Date",datetime
No,trkexpcommitmentdate,"Expected Commitment Date",datetime
No,trkcommitmentdate,"Commitment Date",datetime
No,trkcommitmentexpdate,"Commitment Expiration Date",datetime
No,trkloancontingencydate,"Loan Contingency Date",datetime
No,trkclosingcontingencydate,"Closing Contingency Date",datetime
No,trkclosingsubmitdate,"Closing Submitted Date",datetime
No,trkcash2keysdate,"Cash 2 Keys Closing Date",datetime
No,trkfirstpaymentdate,"First Payment Date",datetime
No,trkloanpaidinfull,"Loan Paid in Full Date",datetime
No,bufdateofformation,"Alternative Finance Received Date",datetime
No,bufstate,"State of Formation",string
No,buffederaltaxId,"Federal Tax ID/EIN",string
No,bufnoofcurrentemp,"Number of Current Employees",string
No,bufbusinesscategory,"Business Category",string
No,bufbusinessReference,"Business Reference(s)?",string
No,buftypeofproductorservicesold,"Type of Product or Service Sold",string
No,bufbusinessAddress,"Business Finance Address",string
No,bufbussinessCity,"Business Finance City",string
No,bufbussinessState,"Business Finance State",string
No,bufbussinessZip,"Business Finance Zip Code",string
No,bufpropertyowership,"Property Ownership",string
No,buflandlordname,"Landlord/Mortgage Contact Name",string
No,buflandlordphonenumber,"Landlord/Mortgage Phone",string
No,bufrentpayment,"Rent/Mortgage Payment",txtCurrency
No,bufavgmonthlyccs,"Average Monthly Credit Card Sales",txtCurrency
No,buftotalmonthlysale,"Average Total Monthly Sales",txtCurrency
No,bufanualgrosssales,"Annual Gross Sales/Receipts",txtCurrency
No,bufanualgrossprofit,"Annual Gross Profit",txtCurrency
No,bufnetbusinessIncome,"YTD-Net Business Income",txtCurrency
No,altfileType,"Alternative Finance File Type",string
No,altloannumber,"Alternative Finance Loan Number",string
No,altesticlosedate,"Alternative Finance Estimated Closing Date",datetime
No,altactualClosedate,"Actual Closing Date",datetime
No,altloanNotes,"Alternative Finance Loan Notes",string
No,altcoBorrower,Co-Borrower?,string
No,altextension,"Alternative Finance Extension",string
No,altaddress,"Alternative Finance Present Address",string
No,altcity,"Alternative Finance Present City",string
No,altstate,"Alternative Finance Present State",string
No,altzip,"Alternative Finance Present Zip",string
No,altresidedPresentAddress,"Resided at Present Address < 2 Years?",string
No,altdriverState,"Driver License State",string
No,altbuyhold,"Does the borrower have fix & flip or buy & hold experience?",integer
No,altgroundup,"Does the borrower have ground-up construction experience?",integer
No,altprojectsCurrently,"Does the borrower have any projects currently in progress?",integer
No,altinvestmentProperties,"Does the borrower own investment properties?",integer
No,altprofessionalLicenses,"Do you have any professional licenses?",integer
No,altbuilder,"Are you a builder/developer?",integer
No,buyholdExperience,"Years of Experience for fix & flip or buy & hold experience",string
No,buyholdCompleted,"Properties Completed (36 mo) for fix & flip or buy & hold experience",string
No,groundupExperience,"Years of Experience for ground-up construction experience",string
No,groundupCompleted,"Properties Completed (36 mo) for for ground-up construction experience",string
No,altprimaryInvestManagement,"Primary Investment Strategy",string
No,altprimaryExplanation,"Primary Investment Strategy Explanation",string
No,altmoneyMarket,"Savings/Money Market/CDs Esimated Value",string
No,altstocks,"Stocks/Bonds Esimated Value",string
No,altkeoghAccount,"IRA/Keogh Accounts Esimated Value",string
No,altesopAccount,"401K/ESOP Accounts Esimated Value",string
No,altlifeInsurance,"Life Insurance -- Cash Surrender Value Esimated Value",string
No,altsecResidences,"Secondary Residences Esimated Value",string
No,altotherRealEst,"Other Real Estate Esimated Value",string
No,altotherAssets,"Other Assets Esimated Value",string
No,altassetsDetails,"Other Assets Details Esimated Value",string
No,altassetTotal,"Total Assets Esimated Value",string
No,lifeInsuranceAmt,"Life Insurance -- Cash Surrender Value Amount Owed",txtCurrency
No,secResidencesAmt,"Secondary Residences Amount Owed",txtCurrency
No,otherRealEstAmt,"Other Real Estate Amount Owed",txtCurrency
No,assetTotalAmt,"Total Assets Amount Owed",txtCurrency
No,altpayFrequency,"Pay Frequency",string
No,altemployerAddress,"Employer Address",string
No,altempcontactWork,"May We Contact You at Work?",string
No,altemploymentHistory,"Explain Employment History if < 2 Years",string
No,altlockedloanFile,"Locked Loan File",string
No,altdesiredclosingDate,"Desired Closing Date",datetime
No,altneedsRehab,"Needs Rehab or Construction?",string
No,altpropertyValue,"Property Value (as-is)",txtCurrency
No,altarv,ARV,txtCurrency
No,altresalePrice,"Resale Price",txtCurrency
No,altcostSpent,"Cost Spent",txtCurrency
No,altacquistionPayment,"Acquisition Down Payment",txtCurrency
No,altrehabCost,"Rehab/Construction Cost",txtCurrency
No,altrehabFinanced,"Rehab/Construction % Financed",txtDecimal
No,altinitialLoanAmt,"Initial Loan Amount",txtCurrency
No,altpayOff1,"Pay-Off on Mortgage 1",txtCurrency
No,altpayOff2,"Pay-Off on Mortgage 2",txtCurrency
No,altpayoffTaxes,"Pay Off Oustanding Taxes",txtCurrency
